Product_Type,Shot,Velocity_1,Velocity_2,Velocity_3,High_Velocity,Cylinder_Pressure,Rapid_Rise_Time,Biscuit_Thickness,Clamping_Force,Cycle_Time,Pressure_Rise_Time,Casting_Pressure,Spray_Time,Spray_1_Time,Spray_2_Time,Melting_Furnace_Temp,Air_Pressure,Coolant_Temp,Coolant_Pressure,Factory_Temp,Factory_Humidity,Pressure_Difference,Pressure_Difference_Ratio,Velocity_2-1,Velocity_3-2,Velocity_High-3,Velocity_Max-Min,Defect_Status,Defect_Type
2,36,0.158,0.162,0.2,2.715,264.0,0.011,18,357,36.2,0.042,594.0,12.2,2.0,2.0,665.2,5.5,26.2,2.7,33.7,55.6,330,2.25,0.004,0.038,2.515,2.557,0,Normal
2,37,0.146,0.163,0.208,2.719,265.0,0.012,19,359,36.2,0.042,595.0,12.2,2.0,2.0,665.2,5.5,26.2,2.7,33.7,55.6,330,2.2452830188679247,0.017,0.0449999999999999,2.511,2.573,0,Normal
2,38,0.15,0.172,0.196,2.694,264.0,0.012,18,359,36.3,0.042,594.0,12.2,2.0,2.0,666.0,5.5,26.2,2.68,33.6,55.4,330,2.25,0.0219999999999999,0.024,2.498,2.544,0,Normal
2,39,0.149,0.168,0.21,2.729,264.0,0.012,18,357,36.6,0.041,594.0,12.7,2.0,2.5,666.3,5.5,26.1,2.67,33.4,55.3,330,2.25,0.019,0.0419999999999999,2.519,2.58,0,Normal
2,40,0.158,0.168,0.212,2.703,264.0,0.012,18,359,36.7,0.042,595.0,12.7,2.0,2.5,666.3,5.5,26.1,2.67,33.4,55.3,331,2.253787878787879,0.01,0.0439999999999999,2.491,2.545,0,Normal
2,41,0.15,0.17,0.208,2.716,264.0,0.011,17,359,36.6,0.04,594.0,12.7,2.0,2.5,666.5,5.4,26.1,2.69,33.4,55.5,330,2.25,0.02,0.0379999999999999,2.508,2.5660000000000003,0,Normal
2,42,0.154,0.164,0.206,2.733,264.0,0.012,17,359,36.6,0.042,594.0,12.7,2.0,2.5,666.5,5.4,26.1,2.69,33.4,55.5,330,2.25,0.01,0.0419999999999999,2.527,2.579,0,Normal
2,43,0.156,0.166,0.192,2.726,264.0,0.012,17,348,36.6,0.042,594.0,12.7,2.0,2.5,666.1,5.4,26.2,2.71,33.4,55.4,330,2.25,0.01,0.0259999999999999,2.534,2.57,0,Normal
2,44,0.16,0.162,0.205,2.72,264.0,0.01,16,350,36.5,0.042,595.0,12.7,2.0,2.5,665.5,5.5,26.2,2.69,33.4,55.4,331,2.253787878787879,0.002,0.0429999999999999,2.515,2.56,0,Normal
2,45,0.157,0.16,0.206,2.73,265.0,0.011,17,352,36.6,0.042,596.0,12.7,2.0,2.5,665.5,5.5,26.2,2.69,33.4,55.4,331,2.249056603773585,0.003,0.0459999999999999,2.524,2.573,0,Normal
2,46,0.157,0.16,0.206,2.73,265.0,0.011,17,352,36.6,0.042,596.0,12.7,2.0,2.5,664.8,5.6,26.2,2.68,33.3,55.5,331,2.249056603773585,0.003,0.0459999999999999,2.524,2.573,0,Normal
2,47,0.152,0.172,0.206,2.73,264.0,0.011,16,361,36.5,0.042,594.0,12.7,2.0,2.5,664.8,5.6,26.2,2.68,33.3,55.5,330,2.25,0.0199999999999999,0.034,2.524,2.578,0,Normal
2,48,0.158,0.172,0.208,2.711,264.0,0.012,17,363,36.6,0.04,595.0,12.7,2.0,2.5,664.4,5.7,26.2,2.71,33.3,55.6,331,2.253787878787879,0.0139999999999999,0.036,2.503,2.553,0,Normal
2,49,0.155,0.165,0.21,2.73,264.0,0.012,17,355,36.7,0.041,595.0,12.7,2.0,2.5,664.2,5.8,26.2,2.68,33.3,55.7,331,2.253787878787879,0.01,0.0449999999999999,2.52,2.575,0,Normal
2,50,0.155,0.165,0.21,2.73,264.0,0.012,17,355,36.7,0.041,595.0,12.7,2.0,2.5,664.2,5.8,26.2,2.68,33.3,55.7,331,2.253787878787879,0.01,0.0449999999999999,2.52,2.575,0,Normal
2,51,0.162,0.166,0.208,2.744,264.0,0.012,16,355,36.7,0.041,594.0,12.7,2.0,2.5,663.9,5.8,26.2,2.69,33.4,55.9,330,2.25,0.004,0.0419999999999999,2.536,2.5820000000000003,0,Normal
2,52,0.15,0.164,0.206,2.702,264.0,0.012,15,355,36.7,0.04,595.0,12.7,2.0,2.5,664.2,5.9,26.2,2.7,33.5,55.8,331,2.253787878787879,0.014,0.0419999999999999,2.496,2.552,0,Normal
2,53,0.156,0.164,0.195,2.696,264.0,0.012,16,355,37.0,0.041,594.0,13.0,2.5,2.7,664.2,5.9,26.2,2.7,33.5,55.8,330,2.25,0.008,0.031,2.5010000000000003,2.54,0,Normal
2,54,0.158,0.168,0.202,2.723,264.0,0.011,14,355,37.1,0.04,594.0,13.0,2.5,2.7,664.3,6.0,26.2,2.69,33.7,55.6,330,2.25,0.01,0.034,2.521,2.565,0,Normal
2,55,0.158,0.162,0.202,2.71,264.0,0.011,14,355,37.0,0.04,595.0,13.0,2.5,2.7,664.3,6.0,26.2,2.69,33.7,55.6,331,2.253787878787879,0.004,0.04,2.508,2.552,1,Other
2,56,0.156,0.163,0.205,2.723,264.0,0.012,16,355,37.1,0.04,594.0,13.0,2.5,2.7,664.1,6.1,26.2,2.68,33.8,55.4,330,2.25,0.007,0.0419999999999999,2.518,2.567,0,Normal
2,57,0.16,0.174,0.197,2.706,264.0,0.012,16,355,37.1,0.04,595.0,13.0,2.5,2.7,663.7,6.2,26.2,2.68,33.9,55.2,331,2.253787878787879,0.0139999999999999,0.023,2.509,2.546,0,Normal
2,58,0.158,0.168,0.21,2.687,264.0,0.012,17,355,37.0,0.04,594.0,13.0,2.5,2.7,663.7,6.2,26.2,2.68,33.9,55.2,330,2.25,0.01,0.0419999999999999,2.477,2.529,0,Normal
2,59,0.147,0.162,0.196,2.718,265.0,0.012,18,357,37.0,0.042,595.0,13.0,2.5,2.7,663.6,6.4,26.2,2.69,33.9,55.1,330,2.2452830188679247,0.015,0.034,2.522,2.571,0,Normal
2,60,0.147,0.162,0.196,2.718,265.0,0.012,18,357,37.0,0.042,595.0,13.0,2.5,2.7,663.6,6.4,26.2,2.69,33.9,55.1,330,2.2452830188679247,0.015,0.034,2.522,2.571,0,Normal
2,61,0.146,0.17,0.202,2.702,264.0,0.012,15,357,37.0,0.04,595.0,13.0,2.5,2.7,663.6,6.5,26.2,2.68,34.0,54.9,331,2.253787878787879,0.024,0.032,2.5,2.556,0,Normal
2,62,0.158,0.171,0.204,2.696,264.0,0.011,18,357,37.1,0.042,594.0,13.0,2.5,2.7,663.5,6.6,26.3,2.7,34.1,54.7,330,2.25,0.013,0.0329999999999999,2.492,2.5380000000000003,0,Normal
2,63,0.155,0.164,0.202,2.697,264.0,0.011,16,359,37.0,0.04,595.0,13.0,2.5,2.7,663.5,6.6,26.3,2.7,34.1,54.7,331,2.253787878787879,0.009,0.038,2.495,2.5420000000000003,0,Normal
2,64,0.16,0.162,0.202,2.723,264.0,0.012,17,359,37.0,0.042,595.0,13.0,2.5,2.7,663.6,6.6,26.3,2.68,34.1,54.6,331,2.253787878787879,0.002,0.04,2.521,2.563,0,Normal
2,65,0.15,0.173,0.204,2.689,264.0,0.011,19,355,37.0,0.04,595.0,13.1,2.5,2.7,663.6,6.6,26.3,2.68,34.1,54.6,331,2.253787878787879,0.0229999999999999,0.031,2.485,2.539,1,Other
2,66,0.16,0.162,0.2,2.699,264.0,0.01,16,359,37.0,0.04,594.0,13.1,2.5,2.7,663.5,6.6,26.3,2.68,34.1,54.5,330,2.25,0.002,0.038,2.499,2.539,1,Other
2,67,0.155,0.17,0.208,2.715,264.0,0.011,17,359,37.0,0.041,595.0,13.1,2.5,2.7,663.2,6.6,26.3,2.68,34.1,54.5,331,2.253787878787879,0.015,0.0379999999999999,2.507,2.56,0,Normal
2,68,0.158,0.171,0.204,2.715,264.0,0.011,17,361,37.0,0.039,595.0,13.1,2.5,2.7,663.2,6.6,26.3,2.68,34.1,54.5,331,2.253787878787879,0.013,0.0329999999999999,2.511,2.557,0,Normal
2,69,0.157,0.178,0.203,2.713,264.0,0.012,16,348,37.0,0.04,594.0,13.0,2.5,2.7,662.5,6.6,26.3,2.7,34.1,54.7,330,2.25,0.0209999999999999,0.025,2.51,2.556,0,Normal
2,70,0.156,0.166,0.21,2.707,264.0,0.011,16,350,37.0,0.04,595.0,13.0,2.5,2.7,662.5,6.6,26.2,2.69,34.1,54.8,331,2.253787878787879,0.01,0.0439999999999999,2.497,2.551,0,Normal
2,71,0.154,0.168,0.196,2.716,264.0,0.012,17,350,37.0,0.039,594.0,13.0,2.5,2.7,662.5,6.6,26.2,2.69,34.1,54.8,330,2.25,0.014,0.0279999999999999,2.52,2.5620000000000003,0,Normal
2,72,0.154,0.17,0.206,2.729,264.0,0.012,18,361,37.0,0.042,595.0,13.0,2.5,2.7,661.6,6.6,26.3,2.69,34.1,54.9,331,2.253787878787879,0.016,0.0359999999999999,2.523,2.575,0,Normal
2,73,0.16,0.168,0.206,2.713,264.0,0.011,18,361,37.0,0.041,595.0,13.0,2.5,2.7,661.6,6.6,26.3,2.69,34.1,54.9,331,2.253787878787879,0.008,0.0379999999999999,2.507,2.553,0,Normal
2,74,0.15,0.166,0.205,2.691,264.0,0.011,18,361,37.0,0.04,594.0,13.0,2.5,2.7,661.4,6.6,26.3,2.71,34.2,54.7,330,2.25,0.016,0.0389999999999999,2.486,2.541,0,Normal
2,75,0.157,0.168,0.214,2.722,264.0,0.012,18,352,36.9,0.042,594.0,13.0,2.5,2.7,661.4,6.6,26.3,2.68,34.2,54.7,330,2.25,0.011,0.0459999999999999,2.508,2.565,0,Normal
2,76,0.155,0.17,0.204,2.7,264.0,0.011,18,354,36.9,0.04,594.0,13.0,2.5,2.7,661.4,6.6,26.3,2.68,34.2,54.7,330,2.25,0.015,0.0339999999999999,2.496,2.5450000000000004,0,Normal
2,80,0.158,0.162,0.206,2.709,264.0,0.012,20,357,37.0,0.041,594.0,13.1,2.5,2.7,663.2,6.7,26.3,2.71,34.3,54.6,330,2.25,0.004,0.0439999999999999,2.503,2.551,0,Normal
2,81,0.154,0.17,0.198,2.72,264.0,0.012,19,359,37.0,0.041,594.0,13.1,2.5,2.7,663.9,6.7,26.3,2.7,34.4,54.4,330,2.25,0.016,0.0279999999999999,2.522,2.5660000000000003,0,Normal
2,82,0.157,0.174,0.203,2.71,264.0,0.012,19,359,37.0,0.041,594.0,13.1,2.5,2.7,664.7,6.6,26.3,2.71,34.4,54.3,330,2.25,0.0169999999999999,0.029,2.507,2.553,0,Normal
2,83,0.143,0.166,0.212,2.714,264.0,0.012,17,359,37.0,0.04,594.0,13.0,2.5,2.7,664.7,6.6,26.3,2.71,34.4,54.3,330,2.25,0.025,0.0459999999999999,2.502,2.573,0,Normal
2,84,0.15,0.17,0.214,2.71,264.0,0.012,19,348,37.0,0.042,595.0,13.1,2.5,2.7,665.5,6.6,26.3,2.71,34.5,54.1,331,2.253787878787879,0.02,0.0439999999999999,2.496,2.56,0,Normal
2,85,0.154,0.17,0.206,2.693,264.0,0.011,19,348,37.0,0.039,595.0,13.0,2.5,2.7,666.2,6.6,26.3,2.71,34.5,53.8,331,2.253787878787879,0.016,0.0359999999999999,2.487,2.539,0,Normal
2,86,0.148,0.166,0.19100000000000006,2.691,264.0,0.011,19,350,36.9,0.043,594.0,13.0,2.5,2.7,666.2,6.6,26.3,2.71,34.5,53.8,330,2.25,0.018,0.0239999999999999,2.501,2.543,0,Normal
2,87,0.158,0.172,0.197,2.697,264.0,0.011,19,364,37.0,0.042,595.0,13.0,2.5,2.7,666.7,6.6,26.3,2.71,34.6,53.6,331,2.253787878787879,0.0139999999999999,0.025,2.5,2.539,0,Normal
2,88,0.162,0.16,0.212,2.711,264.0,0.012,19,364,37.0,0.041,595.0,13.0,2.5,2.7,666.7,6.6,26.3,2.71,34.6,53.6,331,2.253787878787879,-0.002,0.0519999999999999,2.499,2.549,0,Normal
2,89,0.162,0.16,0.212,2.711,264.0,0.012,19,364,37.0,0.041,595.0,13.0,2.5,2.7,667.4,6.6,26.3,2.72,34.7,53.5,331,2.253787878787879,-0.002,0.0519999999999999,2.499,2.549,0,Normal
2,90,0.143,0.164,0.206,2.696,264.0,0.012,16,357,37.0,0.04,595.0,13.0,2.5,2.7,668.1,6.6,26.4,2.7,34.7,53.3,331,2.253787878787879,0.0249999999999999,0.0419999999999999,2.49,2.5570000000000004,0,Normal
2,91,0.155,0.172,0.21,2.726,264.0,0.011,17,357,37.0,0.042,594.0,13.0,2.5,2.7,668.1,6.6,26.4,2.7,34.7,53.3,330,2.25,0.0169999999999999,0.038,2.516,2.571,0,Normal
2,92,0.156,0.174,0.214,2.717,264.0,0.011,18,359,37.0,0.042,594.0,13.0,2.5,2.7,668.9,6.6,26.4,2.72,34.7,53.0,330,2.25,0.0179999999999999,0.04,2.503,2.561,0,Normal
2,93,0.156,0.174,0.214,2.717,264.0,0.011,18,359,37.0,0.042,594.0,13.0,2.5,2.7,668.9,6.6,26.4,2.72,34.7,53.0,330,2.25,0.0179999999999999,0.04,2.503,2.561,0,Normal
2,94,0.16,0.17,0.2,2.724,264.0,0.014,17,359,37.0,0.041,594.0,13.0,2.5,2.7,669.3,6.7,26.4,2.72,34.7,52.9,330,2.25,0.01,0.03,2.524,2.564,0,Normal
2,95,0.162,0.176,0.21,2.693,264.0,0.011,16,359,37.0,0.039,594.0,13.0,2.5,2.7,669.7,6.6,26.4,2.7,34.7,52.8,330,2.25,0.0139999999999999,0.034,2.483,2.531,0,Normal
2,96,0.154,0.164,0.212,2.72,264.0,0.014,15,350,37.0,0.041,594.0,13.0,2.5,2.7,669.7,6.6,26.4,2.7,34.7,52.8,330,2.25,0.01,0.0479999999999999,2.508,2.5660000000000003,0,Normal
2,97,0.158,0.168,0.213,2.69,264.0,0.014,15,354,37.0,0.041,595.0,13.0,2.5,2.7,670.4,6.6,26.4,2.7,34.6,53.0,331,2.253787878787879,0.01,0.0449999999999999,2.477,2.532,0,Normal
2,98,0.152,0.16,0.196,2.711,264.0,0.012,15,363,37.0,0.04,594.0,13.0,2.5,2.7,670.8,6.6,26.4,2.7,34.6,53.0,330,2.25,0.008,0.036,2.515,2.559,0,Normal
2,99,0.154,0.168,0.204,2.713,264.0,0.011,17,364,37.0,0.042,595.0,13.0,2.5,2.7,670.8,6.6,26.4,2.7,34.6,53.0,331,2.253787878787879,0.014,0.0359999999999999,2.509,2.559,0,Normal
2,100,0.162,0.162,0.206,2.67,265.0,0.012,17,363,37.0,0.041,595.0,13.0,2.5,2.7,671.2,6.6,26.4,2.7,34.7,53.1,330,2.2452830188679247,0.0,0.0439999999999999,2.464,2.508,0,Normal
2,101,0.157,0.163,0.204,2.705,264.0,0.012,17,355,36.9,0.039,595.0,13.0,2.5,2.7,671.2,6.6,26.4,2.7,34.7,53.1,331,2.253787878787879,0.006,0.0409999999999999,2.501,2.548,0,Normal
2,102,0.154,0.16,0.21,2.708,264.0,0.013,18,357,36.9,0.042,595.0,13.0,2.5,2.7,671.1,6.6,26.4,2.72,34.7,52.8,331,2.253787878787879,0.006,0.0499999999999999,2.498,2.5540000000000003,0,Normal
2,103,0.16,0.168,0.205,2.719,264.0,0.012,15,355,36.9,0.04,595.0,13.0,2.5,2.7,670.6,6.5,26.4,2.69,34.7,52.6,331,2.253787878787879,0.008,0.0369999999999999,2.514,2.559,0,Normal
2,104,0.155,0.17,0.212,2.723,265.0,0.012,17,355,36.9,0.041,595.0,13.1,2.5,2.7,670.6,6.5,26.4,2.69,34.7,52.6,330,2.2452830188679247,0.015,0.0419999999999999,2.511,2.568,0,Normal
2,105,0.15,0.165,0.208,2.729,264.0,0.011,15,355,36.9,0.04,595.0,13.0,2.5,2.7,670.0,6.5,26.4,2.72,34.7,52.5,331,2.253787878787879,0.015,0.0429999999999999,2.521,2.579,1,Other
2,106,0.16,0.168,0.208,2.701,264.0,0.012,17,355,36.8,0.04,595.0,13.0,2.5,2.7,670.0,6.5,26.4,2.72,34.7,52.5,331,2.253787878787879,0.008,0.0399999999999999,2.493,2.541,0,Normal
2,107,0.148,0.16,0.206,2.727,264.0,0.012,16,355,36.9,0.042,595.0,13.0,2.5,2.7,668.7,6.4,26.4,2.72,34.7,52.5,331,2.253787878787879,0.012,0.0459999999999999,2.521,2.579,0,Normal
2,108,0.15,0.174,0.202,2.709,264.0,0.012,18,355,37.0,0.04,595.0,13.0,2.5,2.7,667.5,6.4,26.4,2.7,34.6,52.5,331,2.253787878787879,0.0239999999999999,0.028,2.507,2.559,1,Other
2,109,0.152,0.166,0.2,2.713,264.0,0.011,16,357,37.0,0.04,595.0,13.0,2.5,2.7,667.5,6.4,26.4,2.7,34.6,52.5,331,2.253787878787879,0.014,0.034,2.513,2.561,0,Normal
2,110,0.16,0.171,0.208,2.693,264.0,0.011,16,357,37.0,0.04,594.0,13.0,2.5,2.7,665.8,6.4,26.4,2.72,34.5,52.7,330,2.25,0.011,0.0369999999999999,2.485,2.533,0,Normal
2,111,0.154,0.168,0.198,2.72,264.0,0.012,17,357,37.0,0.041,595.0,13.0,2.5,2.7,664.4,6.4,26.4,2.7,34.4,52.8,331,2.253787878787879,0.014,0.03,2.522,2.5660000000000003,0,Normal
2,112,0.158,0.168,0.204,2.715,264.0,0.012,17,357,37.0,0.041,595.0,13.0,2.5,2.7,664.4,6.4,26.4,2.7,34.4,52.8,331,2.253787878787879,0.01,0.0359999999999999,2.511,2.557,0,Normal
2,113,0.15,0.168,0.206,2.723,264.0,0.014,17,357,37.0,0.04,594.0,13.0,2.5,2.7,662.9,6.3,26.4,2.71,34.4,52.8,330,2.25,0.018,0.0379999999999999,2.517,2.573,0,Normal
2,114,0.144,0.17,0.198,2.692,264.0,0.011,17,357,36.6,0.04,595.0,8.0,2.0,2.7,662.9,6.3,26.4,2.71,34.4,52.8,331,2.253787878787879,0.026,0.0279999999999999,2.494,2.548,0,Normal
2,115,0.16,0.172,0.204,2.716,264.0,0.012,16,357,36.7,0.039,594.0,11.9,2.0,2.7,661.7,6.3,26.4,2.7,34.4,52.8,330,2.25,0.0119999999999999,0.032,2.512,2.556,0,Normal
2,116,0.156,0.172,0.2,2.721,264.0,0.014,17,359,34.0,0.042,594.0,10.1,2.0,2.7,660.7,6.2,26.4,2.7,34.4,52.8,330,2.25,0.0159999999999999,0.028,2.521,2.565,0,Normal
2,117,0.156,0.172,0.2,2.721,264.0,0.014,17,359,34.0,0.042,594.0,10.1,2.0,2.7,660.7,6.2,26.4,2.7,34.4,52.8,330,2.25,0.0159999999999999,0.028,2.521,2.565,0,Normal
