id,Product_Type,Shot,Velocity_1,Velocity_2,Velocity_3,High_Velocity,Cylinder_Pressure,Biscuit_Thickness,Rapid_Rise_Time,Pressure_Rise_Time,Clamping_Force,Cycle_Time,Casting_Pressure,Spray_Time,Spray_1_Time,Spray_2_Time,Melting_Furnace_Temp,Air_Pressure,Coolant_Temp,Coolant_Pressure,Factory_Temp,Factory_Humidity,Pressure_Diff_ratio,clamp_per_press,temp_diff,press_time_ratio,spray_cycle_ratio,heat_index,Defect_Status,Defect_Type
4207011,2,11,0.156,0.166,0.192,2.723,265,20,0.012,0.041,357,36.6,595,12.5,2.0,2.2,671.6,6.5,26.1,2.7,33.2,57.4,2.2452830188679247,0.6,638.4,3.4166666666666665,0.34153005464480873,19.0568,0,Normal
4208012,2,12,0.157,0.166,0.204,2.73,264,19,0.014,0.04,359,36.5,594,12.5,2.0,2.2,672.1,6.4,26.2,2.71,33.3,57.0,2.25,0.6043771043771043,638.8000000000001,2.857142857142857,0.3424657534246575,18.980999999999998,0,Normal
4209013,2,13,0.156,0.17,0.204,2.715,265,18,0.012,0.041,361,36.5,595,12.5,2.0,2.2,672.4,6.4,26.2,2.7,33.5,56.7,2.2452830188679247,0.6067226890756302,638.9,3.4166666666666665,0.3424657534246575,18.994500000000002,0,Normal
4210014,2,14,0.154,0.17,0.202,2.717,264,20,0.011,0.042,364,36.5,595,12.5,2.0,2.2,672.4,6.4,26.2,2.7,33.5,56.7,2.253787878787879,0.611764705882353,638.9,3.818181818181819,0.3424657534246575,18.994500000000002,0,Normal
4211015,2,15,0.146,0.16,0.198,2.684,264,20,0.012,0.042,357,36.5,595,12.5,2.0,2.2,672.4,6.3,26.2,2.71,33.6,56.4,2.253787878787879,0.6,638.8,3.5,0.3424657534246575,18.9504,0,Normal
4212016,2,16,0.154,0.174,0.204,2.699,264,20,0.012,0.042,359,36.4,594,12.5,2.0,2.2,672.5,6.3,26.2,2.69,33.7,56.2,2.25,0.6043771043771043,638.8,3.5,0.3434065934065934,18.939400000000003,0,Normal
4213017,2,17,0.158,0.166,0.206,2.678,265,18,0.011,0.042,363,36.5,596,12.5,2.0,2.2,672.5,6.3,26.2,2.69,33.7,56.2,2.249056603773585,0.6090604026845637,638.8,3.818181818181819,0.3424657534246575,18.939400000000003,0,Normal
4214018,2,18,0.16,0.162,0.204,2.703,264,18,0.011,0.042,363,36.4,594,12.5,2.0,2.2,672.4,6.2,26.2,2.71,33.8,56.1,2.25,0.6111111111111112,638.6,3.818181818181819,0.3434065934065934,18.961799999999997,0,Normal
4215019,2,19,0.154,0.17,0.205,2.669,265,18,0.011,0.042,354,36.4,595,12.5,2.0,2.2,672.4,6.2,26.2,2.71,33.8,56.1,2.2452830188679247,0.5949579831932773,638.6,3.818181818181819,0.3434065934065934,18.961799999999997,0,Normal
4216020,2,20,0.158,0.164,0.205,2.7,264,18,0.014,0.041,355,36.3,594,12.5,2.0,2.2,671.2,6.1,26.2,2.71,33.9,56.0,2.25,0.5976430976430976,637.3000000000001,2.928571428571429,0.34435261707988984,18.983999999999998,0,Normal
4217021,2,21,0.158,0.164,0.205,2.7,264,18,0.014,0.041,355,36.3,594,12.5,2.0,2.2,670.1,6.0,26.2,2.69,33.9,55.7,2.25,0.5976430976430976,636.2,2.928571428571429,0.34435261707988984,18.8823,0,Normal
4218022,2,22,0.142,0.162,0.206,2.698,264,19,0.012,0.041,357,36.4,595,12.5,2.0,2.2,670.1,6.0,26.2,2.69,33.9,55.7,2.253787878787879,0.6,636.2,3.4166666666666665,0.3434065934065934,18.8823,0,Normal
4219023,2,23,0.147,0.174,0.205,2.694,264,20,0.009,0.041,357,36.4,595,12.5,2.0,2.2,668.7,6.0,26.2,2.71,33.9,55.7,2.253787878787879,0.6,634.8000000000001,4.555555555555556,0.3434065934065934,18.8823,0,Normal
4220024,2,24,0.152,0.17,0.206,2.691,264,19,0.011,0.042,357,36.5,595,12.5,2.0,2.2,668.7,6.0,26.2,2.71,33.9,55.7,2.253787878787879,0.6,634.8000000000001,3.818181818181819,0.3424657534246575,18.8823,0,Normal
4221025,2,25,0.15,0.168,0.21,2.705,264,20,0.011,0.042,357,36.4,595,12.4,2.0,2.2,667.0,5.9,26.2,2.71,33.8,55.8,2.253787878787879,0.6,633.2,3.818181818181819,0.34065934065934067,18.8604,0,Normal
4222026,2,26,0.157,0.168,0.216,2.691,264,20,0.012,0.044,357,36.4,594,12.4,2.0,2.2,665.9,5.8,26.2,2.7,33.8,56.0,2.25,0.601010101010101,632.1,3.6666666666666665,0.34065934065934067,18.927999999999997,0,Normal
4223027,2,27,0.157,0.166,0.21,2.713,265,19,0.012,0.041,359,36.4,595,12.4,2.0,2.2,665.9,5.8,26.2,2.7,33.8,56.0,2.2452830188679247,0.6033613445378151,632.1,3.4166666666666665,0.34065934065934067,18.927999999999997,0,Normal
4224028,2,28,0.157,0.17,0.204,2.724,265,19,0.011,0.041,361,36.4,595,12.4,2.0,2.2,665.4,5.8,26.2,2.71,33.7,56.0,2.2452830188679247,0.6067226890756302,631.6999999999999,3.7272727272727275,0.34065934065934067,18.872000000000003,0,Normal
4225029,2,29,0.146,0.162,0.198,2.722,265,18,0.011,0.042,359,36.4,595,12.4,2.0,2.2,665.4,5.8,26.2,2.71,33.7,56.0,2.2452830188679247,0.6033613445378151,631.6999999999999,3.818181818181819,0.34065934065934067,18.872000000000003,0,Normal
4226030,2,30,0.158,0.162,0.206,2.727,264,16,0.011,0.041,348,36.4,594,12.4,2.0,2.2,664.5,5.7,26.2,2.7,33.8,55.9,2.25,0.5858585858585859,630.7,3.7272727272727275,0.34065934065934067,18.894199999999998,0,Normal
4227031,2,31,0.152,0.164,0.203,2.724,264,18,0.014,0.041,348,36.4,595,12.4,2.0,2.2,664.4,5.6,26.2,2.7,33.8,55.8,2.253787878787879,0.584873949579832,630.6,2.928571428571429,0.34065934065934067,18.8604,0,Normal
4228032,2,32,0.16,0.172,0.204,2.698,264,17,0.012,0.042,348,36.3,594,12.2,2.0,2.0,664.4,5.6,26.2,2.7,33.8,55.8,2.25,0.5858585858585859,630.6,3.5,0.33608815426997246,18.8604,0,Normal
4229033,2,33,0.152,0.168,0.206,2.722,265,16,0.013,0.042,357,36.1,595,12.2,2.0,2.0,664.5,5.6,26.2,2.67,33.7,55.8,2.2452830188679247,0.6,630.8,3.2307692307692313,0.3379501385041551,18.8046,0,Normal
4230034,2,34,0.158,0.17,0.21,2.695,264,18,0.012,0.041,357,36.3,594,12.2,2.0,2.0,664.5,5.6,26.2,2.67,33.7,55.8,2.25,0.601010101010101,630.8,3.4166666666666665,0.33608815426997246,18.8046,0,Normal
4231035,2,35,0.156,0.174,0.2,2.709,264,18,0.011,0.043,359,36.1,594,12.2,2.0,2.0,664.7,5.6,26.2,2.7,33.7,55.7,2.25,0.6043771043771043,631.0,3.909090909090909,0.3379501385041551,18.7709,0,Normal
4232036,2,36,0.158,0.162,0.2,2.715,264,18,0.011,0.042,357,36.2,594,12.2,2.0,2.0,665.2,5.5,26.2,2.7,33.7,55.6,2.25,0.601010101010101,631.5,3.818181818181819,0.33701657458563533,18.7372,0,Normal
4233037,2,37,0.146,0.163,0.208,2.719,265,19,0.012,0.042,359,36.2,595,12.2,2.0,2.0,665.2,5.5,26.2,2.7,33.7,55.6,2.2452830188679247,0.6033613445378151,631.5,3.5,0.33701657458563533,18.7372,0,Normal
4234038,2,38,0.15,0.172,0.196,2.694,264,18,0.012,0.042,359,36.3,594,12.2,2.0,2.0,666.0,5.5,26.2,2.68,33.6,55.4,2.25,0.6043771043771043,632.4,3.5,0.33608815426997246,18.6144,0,Normal
4235039,2,39,0.149,0.168,0.21,2.729,264,18,0.012,0.041,357,36.6,594,12.7,2.0,2.5,666.3,5.5,26.1,2.67,33.4,55.3,2.25,0.601010101010101,632.9,3.4166666666666665,0.3469945355191256,18.4702,0,Normal
4236040,2,40,0.158,0.168,0.212,2.703,264,18,0.012,0.042,359,36.7,595,12.7,2.0,2.5,666.3,5.5,26.1,2.67,33.4,55.3,2.253787878787879,0.6033613445378151,632.9,3.5,0.34604904632152583,18.4702,0,Normal
4237041,2,41,0.15,0.17,0.208,2.716,264,17,0.011,0.04,359,36.6,594,12.7,2.0,2.5,666.5,5.4,26.1,2.69,33.4,55.5,2.25,0.6043771043771043,633.1,3.6363636363636367,0.3469945355191256,18.537,0,Normal
4238042,2,42,0.154,0.164,0.206,2.733,264,17,0.012,0.042,359,36.6,594,12.7,2.0,2.5,666.5,5.4,26.1,2.69,33.4,55.5,2.25,0.6043771043771043,633.1,3.5,0.3469945355191256,18.537,0,Normal
4239043,2,43,0.156,0.166,0.192,2.726,264,17,0.012,0.042,348,36.6,594,12.7,2.0,2.5,666.1,5.4,26.2,2.71,33.4,55.4,2.25,0.5858585858585859,632.7,3.5,0.3469945355191256,18.5036,0,Normal
4240044,2,44,0.16,0.162,0.205,2.72,264,16,0.01,0.042,350,36.5,595,12.7,2.0,2.5,665.5,5.5,26.2,2.69,33.4,55.4,2.253787878787879,0.5882352941176471,632.1,4.2,0.347945205479452,18.5036,0,Normal
4241045,2,45,0.157,0.16,0.206,2.73,265,17,0.011,0.042,352,36.6,596,12.7,2.0,2.5,665.5,5.5,26.2,2.69,33.4,55.4,2.249056603773585,0.5906040268456376,632.1,3.818181818181819,0.3469945355191256,18.5036,0,Normal
4242046,2,46,0.157,0.16,0.206,2.73,265,17,0.011,0.042,352,36.6,596,12.7,2.0,2.5,664.8,5.6,26.2,2.68,33.3,55.5,2.249056603773585,0.5906040268456376,631.5,3.818181818181819,0.3469945355191256,18.481499999999997,0,Normal
4243047,2,47,0.152,0.172,0.206,2.73,264,16,0.011,0.042,361,36.5,594,12.7,2.0,2.5,664.8,5.6,26.2,2.68,33.3,55.5,2.25,0.6077441077441077,631.5,3.818181818181819,0.347945205479452,18.481499999999997,0,Normal
4244048,2,48,0.158,0.172,0.208,2.711,264,17,0.012,0.04,363,36.6,595,12.7,2.0,2.5,664.4,5.7,26.2,2.71,33.3,55.6,2.253787878787879,0.6100840336134454,631.1,3.3333333333333335,0.3469945355191256,18.514799999999997,0,Normal
4245049,2,49,0.155,0.165,0.21,2.73,264,17,0.012,0.041,355,36.7,595,12.7,2.0,2.5,664.2,5.8,26.2,2.68,33.3,55.7,2.253787878787879,0.5966386554621849,630.9000000000001,3.4166666666666665,0.34604904632152583,18.548099999999998,0,Normal
